yr,value
2008,722.9120000000003
2009,376.8200000000001
2005,689.962
2006,740.3930000000003
2012,575.9451554771052
2014,520.089
2013,502.5791881799588
1999,242.75800000000004
2002,394.22499999999997
2017,561.003624058715
2016,514.9379999999999
2015,534.5620000000001
1998,150.883
2004,580.008
2000,356.78999999999996
1997,99.12356669657166
2007,694.8789999999999
2010,512.0288596441526
2003,469.037
2011,588.2606490641908
2001,344.497
